Customer,XC,YC,demand,readyTime,dueTime,serviceTime,completeTime,duration
1,45.0,68.0,10.0,0.0,1127.0,90.0,1217.0,1127.0
2,45.0,70.0,30.0,0.0,1125.0,90.0,1215.0,1125.0
3,42.0,66.0,10.0,0.0,1129.0,90.0,1219.0,1129.0
4,42.0,68.0,10.0,727.0,782.0,90.0,872.0,55.0
5,42.0,65.0,10.0,0.0,1130.0,90.0,1220.0,1130.0
6,40.0,69.0,20.0,0.0,1127.0,90.0,1217.0,1127.0
7,40.0,66.0,20.0,0.0,1130.0,90.0,1220.0,1130.0
8,38.0,68.0,20.0,255.0,324.0,90.0,414.0,69.0
9,38.0,70.0,10.0,534.0,605.0,90.0,695.0,71.0
10,35.0,66.0,10.0,0.0,1129.0,90.0,1219.0,1129.0
11,35.0,69.0,10.0,448.0,505.0,90.0,595.0,57.0
12,25.0,85.0,20.0,0.0,1107.0,90.0,1197.0,1107.0
13,22.0,75.0,30.0,30.0,92.0,90.0,182.0,62.0
14,22.0,85.0,10.0,0.0,1106.0,90.0,1196.0,1106.0
15,20.0,80.0,40.0,384.0,429.0,90.0,519.0,45.0
16,20.0,85.0,40.0,0.0,1105.0,90.0,1195.0,1105.0
17,18.0,75.0,20.0,0.0,1112.0,90.0,1202.0,1112.0
18,15.0,75.0,20.0,0.0,1110.0,90.0,1200.0,1110.0
19,15.0,80.0,10.0,0.0,1106.0,90.0,1196.0,1106.0
20,30.0,50.0,10.0,0.0,1136.0,90.0,1226.0,1136.0
21,30.0,52.0,20.0,0.0,1135.0,90.0,1225.0,1135.0
22,28.0,52.0,20.0,0.0,1133.0,90.0,1223.0,1133.0
23,28.0,55.0,10.0,732.0,777.0,90.0,867.0,45.0
24,25.0,50.0,10.0,0.0,1131.0,90.0,1221.0,1131.0
25,25.0,52.0,40.0,169.0,224.0,90.0,314.0,55.0
26,25.0,55.0,10.0,0.0,1130.0,90.0,1220.0,1130.0
27,23.0,52.0,10.0,0.0,1128.0,90.0,1218.0,1128.0
28,23.0,55.0,20.0,0.0,1128.0,90.0,1218.0,1128.0
29,20.0,50.0,10.0,0.0,1126.0,90.0,1216.0,1126.0
30,20.0,55.0,10.0,0.0,1125.0,90.0,1215.0,1125.0
31,10.0,35.0,20.0,0.0,1112.0,90.0,1202.0,1112.0
32,10.0,40.0,30.0,0.0,1114.0,90.0,1204.0,1114.0
33,8.0,40.0,40.0,0.0,1112.0,90.0,1202.0,1112.0
34,8.0,45.0,20.0,0.0,1113.0,90.0,1203.0,1113.0
35,5.0,35.0,10.0,0.0,1107.0,90.0,1197.0,1107.0
36,5.0,45.0,10.0,0.0,1110.0,90.0,1200.0,1110.0
37,2.0,40.0,20.0,0.0,1106.0,90.0,1196.0,1106.0
38,0.0,40.0,30.0,479.0,522.0,90.0,612.0,43.0
39,0.0,45.0,20.0,0.0,1105.0,90.0,1195.0,1105.0
40,35.0,30.0,10.0,0.0,1125.0,90.0,1215.0,1125.0
41,35.0,32.0,10.0,0.0,1127.0,90.0,1217.0,1127.0
42,33.0,32.0,20.0,0.0,1126.0,90.0,1216.0,1126.0
43,33.0,35.0,10.0,0.0,1129.0,90.0,1219.0,1129.0
44,32.0,30.0,10.0,359.0,412.0,90.0,502.0,53.0
45,30.0,30.0,10.0,0.0,1123.0,90.0,1213.0,1123.0
46,30.0,32.0,30.0,0.0,1125.0,90.0,1215.0,1125.0
47,30.0,35.0,10.0,0.0,1127.0,90.0,1217.0,1127.0
48,28.0,30.0,10.0,0.0,1122.0,90.0,1212.0,1122.0
49,28.0,35.0,10.0,0.0,1126.0,90.0,1216.0,1126.0
50,26.0,32.0,10.0,0.0,1123.0,90.0,1213.0,1123.0
51,25.0,30.0,10.0,0.0,1121.0,90.0,1211.0,1121.0
52,25.0,35.0,10.0,0.0,1124.0,90.0,1214.0,1124.0
53,44.0,5.0,20.0,286.0,347.0,90.0,437.0,61.0
54,42.0,10.0,40.0,0.0,1105.0,90.0,1195.0,1105.0
55,42.0,15.0,10.0,95.0,158.0,90.0,248.0,63.0
56,40.0,5.0,30.0,0.0,1101.0,90.0,1191.0,1101.0
57,40.0,15.0,40.0,0.0,1111.0,90.0,1201.0,1111.0
58,38.0,5.0,30.0,471.0,534.0,90.0,624.0,63.0
59,38.0,15.0,10.0,0.0,1110.0,90.0,1200.0,1110.0
60,35.0,5.0,20.0,0.0,1100.0,90.0,1190.0,1100.0
61,50.0,30.0,10.0,0.0,1123.0,90.0,1213.0,1123.0
62,50.0,35.0,20.0,262.0,317.0,90.0,407.0,55.0
63,50.0,40.0,50.0,0.0,1131.0,90.0,1221.0,1131.0
64,48.0,30.0,10.0,0.0,1124.0,90.0,1214.0,1124.0
65,48.0,40.0,10.0,0.0,1133.0,90.0,1223.0,1133.0
66,47.0,35.0,10.0,0.0,1129.0,90.0,1219.0,1129.0
67,47.0,40.0,10.0,12.0,77.0,90.0,167.0,65.0
68,45.0,30.0,10.0,0.0,1125.0,90.0,1215.0,1125.0
69,45.0,35.0,10.0,916.0,969.0,90.0,1059.0,53.0
70,95.0,30.0,30.0,0.0,1087.0,90.0,1177.0,1087.0
71,95.0,35.0,20.0,0.0,1088.0,90.0,1178.0,1088.0
72,53.0,30.0,10.0,0.0,1122.0,90.0,1212.0,1122.0
73,92.0,30.0,10.0,0.0,1090.0,90.0,1180.0,1090.0
74,53.0,35.0,50.0,353.0,412.0,90.0,502.0,59.0
75,45.0,65.0,20.0,0.0,1130.0,90.0,1220.0,1130.0
76,90.0,35.0,10.0,203.0,260.0,90.0,350.0,57.0
77,88.0,30.0,10.0,574.0,643.0,90.0,733.0,69.0
78,88.0,35.0,20.0,0.0,1095.0,90.0,1185.0,1095.0
79,87.0,30.0,10.0,668.0,731.0,90.0,821.0,63.0
80,85.0,25.0,10.0,0.0,1094.0,90.0,1184.0,1094.0
81,85.0,35.0,30.0,0.0,1098.0,90.0,1188.0,1098.0
