Customer,XC,YC,demand,readyTime,dueTime,serviceTime,completeTime,duration
1,41.0,49.0,10.0,0.0,974.0,10.0,984.0,974.0
2,35.0,17.0,7.0,0.0,972.0,10.0,982.0,972.0
3,55.0,45.0,13.0,0.0,967.0,10.0,977.0,967.0
4,55.0,20.0,19.0,678.0,801.0,10.0,811.0,123.0
5,15.0,30.0,26.0,0.0,969.0,10.0,979.0,969.0
6,25.0,30.0,3.0,415.0,514.0,10.0,524.0,99.0
7,20.0,50.0,5.0,0.0,968.0,10.0,978.0,968.0
8,10.0,43.0,9.0,404.0,481.0,10.0,491.0,77.0
9,55.0,60.0,16.0,400.0,497.0,10.0,507.0,97.0
10,30.0,60.0,16.0,577.0,632.0,10.0,642.0,55.0
11,20.0,65.0,12.0,206.0,325.0,10.0,335.0,119.0
12,50.0,35.0,19.0,0.0,975.0,10.0,985.0,975.0
13,30.0,25.0,23.0,690.0,827.0,10.0,837.0,137.0
14,15.0,10.0,20.0,32.0,243.0,10.0,253.0,211.0
15,30.0,5.0,8.0,175.0,300.0,10.0,310.0,125.0
16,10.0,20.0,19.0,272.0,373.0,10.0,383.0,101.0
17,5.0,30.0,2.0,733.0,870.0,10.0,880.0,137.0
18,20.0,40.0,12.0,377.0,434.0,10.0,444.0,57.0
19,15.0,60.0,17.0,269.0,378.0,10.0,388.0,109.0
20,45.0,65.0,9.0,581.0,666.0,10.0,676.0,85.0
21,45.0,20.0,11.0,0.0,971.0,10.0,981.0,971.0
22,45.0,10.0,18.0,409.0,494.0,10.0,504.0,85.0
23,55.0,5.0,29.0,206.0,325.0,10.0,335.0,119.0
24,65.0,35.0,3.0,704.0,847.0,10.0,857.0,143.0
25,65.0,20.0,6.0,817.0,956.0,10.0,966.0,139.0
