Customer,XC,YC,demand,readyTime,dueTime,serviceTime,completeTime
1,41.0,49.0,10.0,658.0,898.0,10.0,908.0
2,35.0,17.0,7.0,93.0,333.0,10.0,343.0
3,55.0,45.0,13.0,436.0,676.0,10.0,686.0
4,55.0,20.0,19.0,620.0,860.0,10.0,870.0
5,15.0,30.0,26.0,20.0,260.0,10.0,270.0
6,25.0,30.0,3.0,345.0,585.0,10.0,595.0
7,20.0,50.0,5.0,251.0,491.0,10.0,501.0
8,10.0,43.0,9.0,323.0,563.0,10.0,573.0
9,55.0,60.0,16.0,329.0,569.0,10.0,579.0
10,30.0,60.0,16.0,485.0,725.0,10.0,735.0
11,20.0,65.0,12.0,146.0,386.0,10.0,396.0
12,50.0,35.0,19.0,167.0,407.0,10.0,417.0
13,30.0,25.0,23.0,639.0,879.0,10.0,889.0
14,15.0,10.0,20.0,32.0,272.0,10.0,282.0
15,30.0,5.0,8.0,118.0,358.0,10.0,368.0
16,10.0,20.0,19.0,203.0,443.0,10.0,453.0
17,5.0,30.0,2.0,682.0,922.0,10.0,932.0
18,20.0,40.0,12.0,286.0,526.0,10.0,536.0
19,15.0,60.0,17.0,204.0,444.0,10.0,454.0
20,45.0,65.0,9.0,504.0,744.0,10.0,754.0
21,45.0,20.0,11.0,153.0,393.0,10.0,403.0
22,45.0,10.0,18.0,332.0,572.0,10.0,582.0
23,55.0,5.0,29.0,146.0,386.0,10.0,396.0
24,65.0,35.0,3.0,656.0,896.0,10.0,906.0
25,65.0,20.0,6.0,716.0,956.0,10.0,966.0
26,45.0,30.0,17.0,508.0,748.0,10.0,758.0
27,35.0,40.0,16.0,60.0,300.0,10.0,310.0
28,41.0,37.0,16.0,65.0,305.0,10.0,315.0
29,64.0,42.0,9.0,132.0,372.0,10.0,382.0
30,40.0,60.0,21.0,187.0,427.0,10.0,437.0
31,31.0,52.0,27.0,94.0,334.0,10.0,344.0
32,35.0,69.0,23.0,599.0,839.0,10.0,849.0
33,53.0,52.0,11.0,24.0,264.0,10.0,274.0
34,65.0,55.0,14.0,452.0,692.0,10.0,702.0
35,63.0,65.0,8.0,630.0,870.0,10.0,880.0
36,2.0,60.0,5.0,41.0,281.0,10.0,291.0
37,20.0,20.0,8.0,530.0,770.0,10.0,780.0
38,5.0,5.0,16.0,234.0,474.0,10.0,484.0
39,60.0,12.0,31.0,33.0,273.0,10.0,283.0
40,40.0,25.0,9.0,279.0,519.0,10.0,529.0
41,42.0,7.0,5.0,334.0,574.0,10.0,584.0
42,24.0,12.0,5.0,25.0,265.0,10.0,275.0
43,23.0,3.0,7.0,543.0,783.0,10.0,793.0
44,11.0,14.0,18.0,167.0,407.0,10.0,417.0
45,6.0,38.0,16.0,29.0,269.0,10.0,279.0
46,2.0,48.0,1.0,452.0,692.0,10.0,702.0
47,8.0,56.0,27.0,48.0,288.0,10.0,298.0
48,13.0,52.0,36.0,720.0,960.0,10.0,970.0
49,6.0,68.0,30.0,401.0,641.0,10.0,651.0
50,47.0,47.0,13.0,475.0,715.0,10.0,725.0
