Customer,XC,YC,demand,readyTime,dueTime,serviceTime,completeTime
1,25.0,85.0,20.0,145.0,175.0,10.0,185.0
2,22.0,75.0,30.0,50.0,80.0,10.0,90.0
3,22.0,85.0,10.0,109.0,139.0,10.0,149.0
4,20.0,80.0,40.0,141.0,171.0,10.0,181.0
5,20.0,85.0,20.0,41.0,71.0,10.0,81.0
6,18.0,75.0,20.0,95.0,125.0,10.0,135.0
7,15.0,75.0,20.0,79.0,109.0,10.0,119.0
8,15.0,80.0,10.0,91.0,121.0,10.0,131.0
9,10.0,35.0,20.0,91.0,121.0,10.0,131.0
10,10.0,40.0,30.0,119.0,149.0,10.0,159.0
11,8.0,40.0,40.0,59.0,89.0,10.0,99.0
12,8.0,45.0,20.0,64.0,94.0,10.0,104.0
13,5.0,35.0,10.0,142.0,172.0,10.0,182.0
14,5.0,45.0,10.0,35.0,65.0,10.0,75.0
15,2.0,40.0,20.0,58.0,88.0,10.0,98.0
16,0.0,40.0,20.0,72.0,102.0,10.0,112.0
17,0.0,45.0,20.0,149.0,179.0,10.0,189.0
18,44.0,5.0,20.0,87.0,117.0,10.0,127.0
19,42.0,10.0,40.0,72.0,102.0,10.0,112.0
20,42.0,15.0,10.0,122.0,152.0,10.0,162.0
21,40.0,5.0,10.0,67.0,97.0,10.0,107.0
22,40.0,15.0,40.0,92.0,122.0,10.0,132.0
23,38.0,5.0,30.0,65.0,95.0,10.0,105.0
24,38.0,15.0,10.0,148.0,178.0,10.0,188.0
25,35.0,5.0,20.0,154.0,184.0,10.0,194.0
26,95.0,30.0,30.0,115.0,145.0,10.0,155.0
27,95.0,35.0,20.0,62.0,92.0,10.0,102.0
28,92.0,30.0,10.0,62.0,92.0,10.0,102.0
29,90.0,35.0,10.0,67.0,97.0,10.0,107.0
30,88.0,30.0,10.0,74.0,104.0,10.0,114.0
31,88.0,35.0,20.0,61.0,91.0,10.0,101.0
32,87.0,30.0,10.0,131.0,161.0,10.0,171.0
33,85.0,25.0,10.0,51.0,81.0,10.0,91.0
34,85.0,35.0,30.0,111.0,141.0,10.0,151.0
35,67.0,85.0,20.0,139.0,169.0,10.0,179.0
36,65.0,85.0,40.0,43.0,73.0,10.0,83.0
37,65.0,82.0,10.0,124.0,154.0,10.0,164.0
38,62.0,80.0,30.0,75.0,105.0,10.0,115.0
39,60.0,80.0,10.0,37.0,67.0,10.0,77.0
40,60.0,85.0,30.0,85.0,115.0,10.0,125.0
41,58.0,75.0,20.0,92.0,122.0,10.0,132.0
42,55.0,80.0,10.0,33.0,63.0,10.0,73.0
43,55.0,85.0,20.0,128.0,158.0,10.0,168.0
44,55.0,82.0,10.0,64.0,94.0,10.0,104.0
45,20.0,82.0,10.0,37.0,67.0,10.0,77.0
46,18.0,80.0,10.0,113.0,143.0,10.0,153.0
47,2.0,45.0,10.0,45.0,75.0,10.0,85.0
48,42.0,5.0,10.0,151.0,181.0,10.0,191.0
49,42.0,12.0,10.0,104.0,134.0,10.0,144.0
50,72.0,35.0,30.0,116.0,146.0,10.0,156.0
