Customer,XC,YC,demand,readyTime,dueTime,serviceTime,completeTime,duration
1,25.0,85.0,20.0,591.0,874.0,10.0,884.0,283.0
2,22.0,75.0,30.0,73.0,350.0,10.0,360.0,277.0
3,22.0,85.0,10.0,473.0,588.0,10.0,598.0,115.0
4,20.0,80.0,40.0,418.0,913.0,10.0,923.0,495.0
5,20.0,85.0,20.0,40.0,390.0,10.0,400.0,350.0
6,18.0,75.0,20.0,249.0,646.0,10.0,656.0,397.0
7,15.0,75.0,20.0,281.0,438.0,10.0,448.0,157.0
8,15.0,80.0,10.0,272.0,581.0,10.0,591.0,309.0
9,10.0,35.0,20.0,236.0,625.0,10.0,635.0,389.0
10,10.0,40.0,30.0,470.0,687.0,10.0,697.0,217.0
11,8.0,40.0,40.0,33.0,510.0,10.0,520.0,477.0
12,8.0,45.0,20.0,166.0,399.0,10.0,409.0,233.0
13,5.0,35.0,10.0,359.0,911.0,10.0,921.0,552.0
14,5.0,45.0,10.0,35.0,457.0,10.0,467.0,422.0
15,2.0,40.0,20.0,39.0,538.0,10.0,548.0,499.0
16,0.0,40.0,20.0,214.0,415.0,10.0,425.0,201.0
17,0.0,45.0,20.0,359.0,909.0,10.0,919.0,550.0
18,44.0,5.0,20.0,338.0,451.0,10.0,461.0,113.0
19,42.0,10.0,40.0,205.0,422.0,10.0,432.0,217.0
20,42.0,15.0,10.0,511.0,682.0,10.0,692.0,171.0
21,40.0,5.0,10.0,158.0,391.0,10.0,401.0,233.0
22,40.0,15.0,40.0,263.0,606.0,10.0,616.0,343.0
23,38.0,5.0,30.0,45.0,522.0,10.0,532.0,477.0
24,38.0,15.0,10.0,598.0,883.0,10.0,893.0,285.0
25,35.0,5.0,20.0,348.0,904.0,10.0,914.0,556.0
26,95.0,30.0,30.0,509.0,668.0,10.0,678.0,159.0
27,95.0,35.0,20.0,57.0,664.0,10.0,674.0,607.0
28,92.0,30.0,10.0,68.0,349.0,10.0,359.0,281.0
29,90.0,35.0,10.0,131.0,376.0,10.0,386.0,245.0
30,88.0,30.0,10.0,114.0,497.0,10.0,507.0,383.0
31,88.0,35.0,20.0,102.0,347.0,10.0,357.0,245.0
32,87.0,30.0,10.0,564.0,797.0,10.0,807.0,233.0
33,85.0,25.0,10.0,51.0,673.0,10.0,683.0,622.0
34,85.0,35.0,30.0,462.0,631.0,10.0,641.0,169.0
35,67.0,85.0,20.0,396.0,905.0,10.0,915.0,509.0
36,65.0,85.0,40.0,43.0,712.0,10.0,722.0,669.0
37,65.0,82.0,10.0,530.0,703.0,10.0,713.0,173.0
38,62.0,80.0,30.0,131.0,544.0,10.0,554.0,413.0
39,60.0,80.0,10.0,36.0,800.0,10.0,810.0,764.0
40,60.0,85.0,30.0,233.0,544.0,10.0,554.0,311.0
41,58.0,75.0,20.0,207.0,664.0,10.0,674.0,457.0
42,55.0,80.0,10.0,33.0,624.0,10.0,634.0,591.0
43,55.0,85.0,20.0,549.0,718.0,10.0,728.0,169.0
44,55.0,82.0,10.0,62.0,491.0,10.0,501.0,429.0
45,20.0,82.0,10.0,37.0,677.0,10.0,687.0,640.0
46,18.0,80.0,10.0,435.0,662.0,10.0,672.0,227.0
47,2.0,45.0,10.0,38.0,366.0,10.0,376.0,328.0
48,42.0,5.0,10.0,636.0,904.0,10.0,914.0,268.0
49,42.0,12.0,10.0,423.0,576.0,10.0,586.0,153.0
50,72.0,35.0,30.0,471.0,662.0,10.0,672.0,191.0
51,55.0,20.0,19.0,281.0,490.0,10.0,500.0,209.0
52,25.0,30.0,3.0,109.0,360.0,10.0,370.0,251.0
53,20.0,50.0,5.0,284.0,585.0,10.0,595.0,301.0
54,55.0,60.0,16.0,568.0,753.0,10.0,763.0,185.0
55,30.0,60.0,16.0,421.0,896.0,10.0,906.0,475.0
56,50.0,35.0,19.0,404.0,829.0,10.0,839.0,425.0
57,30.0,25.0,23.0,347.0,566.0,10.0,576.0,219.0
58,15.0,10.0,20.0,380.0,902.0,10.0,912.0,522.0
59,10.0,20.0,19.0,42.0,466.0,10.0,476.0,424.0
60,15.0,60.0,17.0,613.0,894.0,10.0,904.0,281.0
61,45.0,65.0,9.0,230.0,405.0,10.0,415.0,175.0
62,65.0,35.0,3.0,29.0,587.0,10.0,597.0,558.0
63,65.0,20.0,6.0,39.0,353.0,10.0,363.0,314.0
64,45.0,30.0,17.0,20.0,497.0,10.0,507.0,477.0
65,35.0,40.0,16.0,11.0,570.0,10.0,580.0,559.0
66,41.0,37.0,16.0,423.0,828.0,10.0,838.0,405.0
67,64.0,42.0,9.0,112.0,543.0,10.0,553.0,431.0
68,40.0,60.0,21.0,441.0,902.0,10.0,912.0,461.0
69,31.0,52.0,27.0,9.0,532.0,10.0,542.0,523.0
70,35.0,69.0,23.0,211.0,930.0,10.0,940.0,719.0
71,65.0,55.0,14.0,201.0,400.0,10.0,410.0,199.0
72,63.0,65.0,8.0,27.0,382.0,10.0,392.0,355.0
73,2.0,60.0,5.0,255.0,436.0,10.0,446.0,181.0
74,20.0,20.0,8.0,427.0,913.0,10.0,923.0,486.0
75,5.0,5.0,16.0,183.0,400.0,10.0,410.0,217.0
76,60.0,12.0,31.0,162.0,493.0,10.0,503.0,331.0
77,23.0,3.0,7.0,360.0,900.0,10.0,910.0,540.0
78,8.0,56.0,27.0,195.0,654.0,10.0,664.0,459.0
79,6.0,68.0,30.0,258.0,565.0,10.0,575.0,307.0
80,47.0,47.0,13.0,426.0,942.0,10.0,952.0,516.0
81,49.0,58.0,10.0,369.0,460.0,10.0,470.0,91.0
82,27.0,43.0,9.0,85.0,338.0,10.0,348.0,253.0
83,37.0,31.0,14.0,19.0,326.0,10.0,336.0,307.0
84,57.0,29.0,18.0,304.0,605.0,10.0,615.0,301.0
85,63.0,23.0,2.0,318.0,489.0,10.0,499.0,171.0
86,21.0,24.0,28.0,332.0,485.0,10.0,495.0,153.0
87,12.0,24.0,13.0,365.0,472.0,10.0,482.0,107.0
88,24.0,58.0,19.0,100.0,539.0,10.0,549.0,439.0
89,67.0,5.0,25.0,565.0,897.0,10.0,907.0,332.0
90,37.0,47.0,6.0,324.0,513.0,10.0,523.0,189.0
91,49.0,42.0,13.0,651.0,906.0,10.0,916.0,255.0
92,53.0,43.0,14.0,14.0,669.0,10.0,679.0,655.0
93,61.0,52.0,3.0,298.0,928.0,10.0,938.0,630.0
94,57.0,48.0,23.0,385.0,518.0,10.0,528.0,133.0
95,56.0,37.0,6.0,20.0,299.0,10.0,309.0,279.0
96,55.0,54.0,26.0,538.0,705.0,10.0,715.0,167.0
97,4.0,18.0,35.0,546.0,667.0,10.0,677.0,121.0
98,26.0,52.0,9.0,109.0,354.0,10.0,364.0,245.0
99,26.0,35.0,15.0,170.0,565.0,10.0,575.0,395.0
100,31.0,67.0,3.0,262.0,930.0,10.0,940.0,668.0
