Customer,XC,YC,demand,readyTime,dueTime,serviceTime,completeTime,duration
1,45.0,68.0,10.0,760.0,1120.0,90.0,1210.0,360.0
2,45.0,70.0,30.0,668.0,1028.0,90.0,1118.0,360.0
3,42.0,66.0,10.0,16.0,376.0,90.0,466.0,360.0
4,42.0,68.0,10.0,575.0,935.0,90.0,1025.0,360.0
5,42.0,65.0,10.0,15.0,375.0,90.0,465.0,360.0
6,40.0,69.0,20.0,482.0,842.0,90.0,932.0,360.0
7,40.0,66.0,20.0,18.0,378.0,90.0,468.0,360.0
8,38.0,68.0,20.0,110.0,470.0,90.0,560.0,360.0
9,38.0,70.0,10.0,390.0,750.0,90.0,840.0,360.0
10,35.0,66.0,10.0,204.0,564.0,90.0,654.0,360.0
11,35.0,69.0,10.0,297.0,657.0,90.0,747.0,360.0
12,25.0,85.0,20.0,507.0,867.0,90.0,957.0,360.0
13,22.0,75.0,30.0,30.0,390.0,90.0,480.0,360.0
14,22.0,85.0,10.0,414.0,774.0,90.0,864.0,360.0
15,20.0,80.0,40.0,227.0,587.0,90.0,677.0,360.0
16,20.0,85.0,40.0,322.0,682.0,90.0,772.0,360.0
17,18.0,75.0,20.0,33.0,393.0,90.0,483.0,360.0
18,15.0,75.0,20.0,37.0,397.0,90.0,487.0,360.0
19,15.0,80.0,10.0,132.0,492.0,90.0,582.0,360.0
20,30.0,50.0,10.0,10.0,370.0,90.0,460.0,360.0
21,30.0,52.0,20.0,760.0,1120.0,90.0,1210.0,360.0
22,28.0,52.0,20.0,668.0,1028.0,90.0,1118.0,360.0
23,28.0,55.0,10.0,575.0,935.0,90.0,1025.0,360.0
24,25.0,50.0,10.0,15.0,375.0,90.0,465.0,360.0
25,25.0,52.0,40.0,17.0,377.0,90.0,467.0,360.0
