Customer,XC,YC,demand,readyTime,dueTime,serviceTime,completeTime,duration
1,41.0,49.0,10.0,73.0,204.0,10.0,214.0,131.0
2,35.0,17.0,7.0,18.0,147.0,10.0,157.0,129.0
3,55.0,45.0,13.0,76.0,165.0,10.0,175.0,89.0
4,55.0,20.0,19.0,73.0,195.0,10.0,205.0,122.0
5,15.0,30.0,26.0,20.0,167.0,10.0,177.0,147.0
6,25.0,30.0,3.0,49.0,158.0,10.0,168.0,109.0
7,20.0,50.0,5.0,36.0,135.0,10.0,145.0,99.0
8,10.0,43.0,9.0,50.0,149.0,10.0,159.0,99.0
9,55.0,60.0,16.0,47.0,156.0,10.0,166.0,109.0
10,30.0,60.0,16.0,85.0,172.0,10.0,182.0,87.0
11,20.0,65.0,12.0,33.0,152.0,10.0,162.0,119.0
12,50.0,35.0,19.0,15.0,133.0,10.0,143.0,118.0
13,30.0,25.0,23.0,79.0,208.0,10.0,218.0,129.0
14,15.0,10.0,20.0,32.0,187.0,10.0,197.0,155.0
15,30.0,5.0,8.0,30.0,152.0,10.0,162.0,122.0
16,10.0,20.0,19.0,29.0,139.0,10.0,149.0,110.0
17,5.0,30.0,2.0,60.0,189.0,10.0,199.0,129.0
18,20.0,40.0,12.0,47.0,136.0,10.0,146.0,89.0
19,15.0,60.0,17.0,32.0,146.0,10.0,156.0,114.0
20,45.0,65.0,9.0,79.0,182.0,10.0,192.0,103.0
21,45.0,20.0,11.0,18.0,136.0,10.0,146.0,118.0
22,45.0,10.0,18.0,50.0,153.0,10.0,163.0,103.0
23,55.0,5.0,29.0,36.0,155.0,10.0,165.0,119.0
24,65.0,35.0,3.0,58.0,190.0,10.0,200.0,132.0
25,65.0,20.0,6.0,56.0,186.0,10.0,196.0,130.0
