Customer,XC,YC,demand,readyTime,dueTime,serviceTime,completeTime
1,52.0,75.0,10.0,213.0,568.0,90.0,658.0
2,45.0,70.0,30.0,22.0,563.0,90.0,653.0
3,62.0,69.0,10.0,1030.0,1463.0,90.0,1553.0
4,60.0,66.0,10.0,1154.0,1527.0,90.0,1617.0
5,42.0,65.0,10.0,15.0,402.0,90.0,492.0
6,16.0,42.0,20.0,331.0,822.0,90.0,912.0
7,58.0,70.0,20.0,965.0,1340.0,90.0,1430.0
8,34.0,60.0,20.0,2653.0,3280.0,90.0,3370.0
9,28.0,70.0,10.0,2385.0,2976.0,90.0,3066.0
10,35.0,66.0,10.0,2628.0,3113.0,90.0,3203.0
11,35.0,69.0,10.0,2603.0,2952.0,90.0,3042.0
12,25.0,85.0,20.0,1985.0,2412.0,90.0,2502.0
13,22.0,75.0,30.0,2310.0,2659.0,90.0,2749.0
14,22.0,85.0,10.0,1846.0,2365.0,90.0,2455.0
15,20.0,80.0,40.0,2077.0,2514.0,90.0,2604.0
16,20.0,85.0,40.0,1763.0,2264.0,90.0,2354.0
17,18.0,75.0,20.0,2143.0,2638.0,90.0,2728.0
18,15.0,75.0,20.0,1560.0,2083.0,90.0,2173.0
19,15.0,80.0,10.0,1689.0,2144.0,90.0,2234.0
20,30.0,50.0,10.0,10.0,645.0,90.0,735.0
21,30.0,56.0,20.0,2675.0,3288.0,90.0,3378.0
22,28.0,52.0,20.0,12.0,505.0,90.0,595.0
23,14.0,66.0,10.0,1519.0,1926.0,90.0,2016.0
24,25.0,50.0,10.0,23.0,368.0,90.0,458.0
25,22.0,66.0,40.0,2380.0,2787.0,90.0,2877.0
26,8.0,62.0,10.0,1330.0,1919.0,90.0,2009.0
27,23.0,52.0,10.0,93.0,484.0,90.0,574.0
28,4.0,55.0,20.0,1268.0,1785.0,90.0,1875.0
29,20.0,50.0,10.0,168.0,787.0,90.0,877.0
30,20.0,55.0,10.0,170.0,595.0,90.0,685.0
31,10.0,35.0,20.0,585.0,1136.0,90.0,1226.0
32,10.0,40.0,30.0,448.0,897.0,90.0,987.0
33,8.0,40.0,40.0,499.0,1030.0,90.0,1120.0
34,8.0,45.0,20.0,1190.0,1661.0,90.0,1751.0
35,5.0,35.0,10.0,666.0,1245.0,90.0,1335.0
36,5.0,45.0,10.0,1076.0,1589.0,90.0,1679.0
37,2.0,40.0,20.0,772.0,1329.0,90.0,1419.0
38,0.0,40.0,30.0,890.0,1395.0,90.0,1485.0
39,0.0,45.0,20.0,1036.0,1439.0,90.0,1529.0
40,36.0,18.0,10.0,1612.0,2185.0,90.0,2275.0
41,35.0,32.0,10.0,2599.0,3076.0,90.0,3166.0
42,33.0,32.0,20.0,2529.0,2962.0,90.0,3052.0
43,33.0,35.0,10.0,2463.0,2842.0,90.0,2932.0
44,32.0,20.0,10.0,1745.0,2240.0,90.0,2330.0
45,30.0,30.0,10.0,1932.0,2437.0,90.0,2527.0
46,34.0,25.0,30.0,1884.0,2293.0,90.0,2383.0
47,30.0,35.0,10.0,2348.0,2771.0,90.0,2861.0
48,36.0,40.0,10.0,2715.0,3156.0,90.0,3246.0
49,48.0,20.0,10.0,812.0,1281.0,90.0,1371.0
50,26.0,32.0,10.0,2018.0,2725.0,90.0,2815.0
