Customer,XC,YC,demand,readyTime,dueTime,serviceTime,completeTime
1,25.0,85.0,20.0,613.0,853.0,10.0,863.0
2,22.0,75.0,30.0,92.0,332.0,10.0,342.0
3,22.0,85.0,10.0,411.0,651.0,10.0,661.0
4,20.0,80.0,40.0,584.0,824.0,10.0,834.0
5,20.0,85.0,20.0,40.0,280.0,10.0,290.0
6,18.0,75.0,20.0,328.0,568.0,10.0,578.0
7,15.0,75.0,20.0,240.0,480.0,10.0,490.0
8,15.0,80.0,10.0,307.0,547.0,10.0,557.0
9,10.0,35.0,20.0,311.0,551.0,10.0,561.0
10,10.0,40.0,30.0,459.0,699.0,10.0,709.0
11,8.0,40.0,40.0,135.0,375.0,10.0,385.0
12,8.0,45.0,20.0,163.0,403.0,10.0,413.0
13,5.0,35.0,10.0,593.0,833.0,10.0,843.0
14,5.0,45.0,10.0,35.0,275.0,10.0,285.0
15,2.0,40.0,20.0,114.0,354.0,10.0,364.0
16,0.0,40.0,20.0,195.0,435.0,10.0,445.0
17,0.0,45.0,20.0,643.0,883.0,10.0,893.0
18,44.0,5.0,20.0,275.0,515.0,10.0,525.0
19,42.0,10.0,40.0,194.0,434.0,10.0,444.0
20,42.0,15.0,10.0,477.0,717.0,10.0,727.0
21,40.0,5.0,10.0,155.0,395.0,10.0,405.0
22,40.0,15.0,40.0,315.0,555.0,10.0,565.0
23,38.0,5.0,30.0,141.0,381.0,10.0,391.0
24,38.0,15.0,10.0,621.0,861.0,10.0,871.0
25,35.0,5.0,20.0,664.0,904.0,10.0,914.0
26,95.0,30.0,30.0,469.0,709.0,10.0,719.0
27,95.0,35.0,20.0,86.0,326.0,10.0,336.0
28,92.0,30.0,10.0,89.0,329.0,10.0,339.0
29,90.0,35.0,10.0,134.0,374.0,10.0,384.0
30,88.0,30.0,10.0,186.0,426.0,10.0,436.0
31,88.0,35.0,20.0,105.0,345.0,10.0,355.0
32,87.0,30.0,10.0,561.0,801.0,10.0,811.0
33,85.0,25.0,10.0,51.0,291.0,10.0,301.0
34,85.0,35.0,30.0,427.0,667.0,10.0,677.0
35,67.0,85.0,20.0,597.0,837.0,10.0,847.0
36,65.0,85.0,40.0,43.0,283.0,10.0,293.0
37,65.0,82.0,10.0,497.0,737.0,10.0,747.0
38,62.0,80.0,30.0,218.0,458.0,10.0,468.0
39,60.0,80.0,10.0,36.0,276.0,10.0,286.0
40,60.0,85.0,30.0,269.0,509.0,10.0,519.0
41,58.0,75.0,20.0,316.0,556.0,10.0,566.0
42,55.0,80.0,10.0,33.0,273.0,10.0,283.0
43,55.0,85.0,20.0,514.0,754.0,10.0,764.0
44,55.0,82.0,10.0,157.0,397.0,10.0,407.0
45,20.0,82.0,10.0,37.0,277.0,10.0,287.0
46,18.0,80.0,10.0,429.0,669.0,10.0,679.0
47,2.0,45.0,10.0,45.0,285.0,10.0,295.0
48,42.0,5.0,10.0,664.0,904.0,10.0,914.0
49,42.0,12.0,10.0,380.0,620.0,10.0,630.0
50,72.0,35.0,30.0,447.0,687.0,10.0,697.0
