Customer,XC,YC,demand,readyTime,dueTime,serviceTime,completeTime,duration
1,52.0,75.0,10.0,213.0,568.0,90.0,658.0,355.0
2,45.0,70.0,30.0,22.0,563.0,90.0,653.0,541.0
3,62.0,69.0,10.0,1030.0,1463.0,90.0,1553.0,433.0
4,60.0,66.0,10.0,1154.0,1527.0,90.0,1617.0,373.0
5,42.0,65.0,10.0,15.0,402.0,90.0,492.0,387.0
6,16.0,42.0,20.0,331.0,822.0,90.0,912.0,491.0
7,58.0,70.0,20.0,965.0,1340.0,90.0,1430.0,375.0
8,34.0,60.0,20.0,2653.0,3280.0,90.0,3370.0,627.0
9,28.0,70.0,10.0,2385.0,2976.0,90.0,3066.0,591.0
10,35.0,66.0,10.0,2628.0,3113.0,90.0,3203.0,485.0
11,35.0,69.0,10.0,2603.0,2952.0,90.0,3042.0,349.0
12,25.0,85.0,20.0,1985.0,2412.0,90.0,2502.0,427.0
13,22.0,75.0,30.0,2310.0,2659.0,90.0,2749.0,349.0
14,22.0,85.0,10.0,1846.0,2365.0,90.0,2455.0,519.0
15,20.0,80.0,40.0,2077.0,2514.0,90.0,2604.0,437.0
16,20.0,85.0,40.0,1763.0,2264.0,90.0,2354.0,501.0
17,18.0,75.0,20.0,2143.0,2638.0,90.0,2728.0,495.0
18,15.0,75.0,20.0,1560.0,2083.0,90.0,2173.0,523.0
19,15.0,80.0,10.0,1689.0,2144.0,90.0,2234.0,455.0
20,30.0,50.0,10.0,10.0,645.0,90.0,735.0,635.0
21,30.0,56.0,20.0,2675.0,3288.0,90.0,3378.0,613.0
22,28.0,52.0,20.0,12.0,505.0,90.0,595.0,493.0
23,14.0,66.0,10.0,1519.0,1926.0,90.0,2016.0,407.0
24,25.0,50.0,10.0,23.0,368.0,90.0,458.0,345.0
25,22.0,66.0,40.0,2380.0,2787.0,90.0,2877.0,407.0
