Customer,XC,YC,demand,readyTime,dueTime,serviceTime,completeTime,duration
1,41.0,49.0,10.0,451.0,974.0,10.0,984.0,523.0
2,35.0,17.0,7.0,18.0,534.0,10.0,544.0,516.0
3,55.0,45.0,13.0,378.0,733.0,10.0,743.0,355.0
4,55.0,20.0,19.0,477.0,965.0,10.0,975.0,488.0
5,15.0,30.0,26.0,20.0,610.0,10.0,620.0,590.0
6,25.0,30.0,3.0,245.0,684.0,10.0,694.0,439.0
7,20.0,50.0,5.0,172.0,569.0,10.0,579.0,397.0
8,10.0,43.0,9.0,245.0,640.0,10.0,650.0,395.0
9,55.0,60.0,16.0,231.0,666.0,10.0,676.0,435.0
10,30.0,60.0,16.0,430.0,779.0,10.0,789.0,349.0
11,20.0,65.0,12.0,33.0,511.0,10.0,521.0,478.0
12,50.0,35.0,19.0,50.0,523.0,10.0,533.0,473.0
13,30.0,25.0,23.0,462.0,978.0,10.0,988.0,516.0
14,15.0,10.0,20.0,32.0,694.0,10.0,704.0,662.0
15,30.0,5.0,8.0,30.0,519.0,10.0,529.0,489.0
16,10.0,20.0,19.0,102.0,543.0,10.0,553.0,441.0
17,5.0,30.0,2.0,444.0,959.0,10.0,969.0,515.0
18,20.0,40.0,12.0,229.0,582.0,10.0,592.0,353.0
19,15.0,60.0,17.0,95.0,552.0,10.0,562.0,457.0
20,45.0,65.0,9.0,418.0,829.0,10.0,839.0,411.0
21,45.0,20.0,11.0,36.0,509.0,10.0,519.0,473.0
22,45.0,10.0,18.0,246.0,657.0,10.0,667.0,411.0
23,55.0,5.0,29.0,36.0,514.0,10.0,524.0,478.0
24,65.0,35.0,3.0,435.0,960.0,10.0,970.0,525.0
25,65.0,20.0,6.0,438.0,956.0,10.0,966.0,518.0
