dataset,best_distance,best_nv, PSO_distance,PSO_nv
c101,828.94,10,828.937,10
c102,828.94,10,829.712,10
c103,828.06,10,851.373,10
c104,824.78,10,868.521,10
c105,828.94,10,828.937,10
c106,828.94,10,828.937,10
c107,828.94,10,828.937,10
c108,828.94,10,828.937,10
c109,828.94,10,828.937,10
r101,1645.79,19,1652.001,19
r102,1486.12,17,1500.809,17
r103,1292.68,13,1242.649,14
r104,1007.24,9,1042.216,10
r105,1377.11,14,1385.082,14
r106,1251.98,12,1294.869,12
r107,1104.66,10,1123.981,11
r108,960.88,9,1011.682,10
r109,1194.73,11,1211.63,12
r110,1118.59,10,1190.362,11
r111,1096.72,10,1102.987,11
r112,982.14,9,1029.124,10
rc101,1696.94,14,1641.204,15
rc102,1554.75,12,1510.952,13
rc103,1261.67,11,1294.739,11
rc104,1135.48,10,1190.545,10
rc105,1629.44,13,1603.707,14
rc106,1424.73,11,1410.931,12
rc107,1230.48,11,1249.795,11
rc108,1139.82,10,1181.87,11
c201,591.56,3,591.557,3
c202,591.56,3,591.557,3
c203,591.17,3,591.173,3
c204,590.6,3,615.43,3
c205,588.88,3,588.876,3
c206,588.49,3,588.876,3
c207,588.29,3,591.35,3
c208,588.32,3,588.493,3
r201,1252.37,4,1274.969,4
r202,1191.7,3,1247.033,3
r203,939.54,3,1052.712,3
r204,825.52,2,844.161,3
r205,994.42,3,1061.46,3
r206,906.14,3,1016.346,3
r207,893.33,2,946.778,3
r208,726.75,2,834.721,2
r209,909.16,3,1003.188,3
r210,939.34,3,1040.544,3
r211,892.17,2,861.323,3
rc201,1406.91,4,1423.519,4
rc202,1367.09,3,1193.591,4
rc203,1049.62,3,1123.419,3
rc204,798.41,3,894.117,3
rc205,1297.19,4,1321.429,4
rc206,1146.32,3,1307.9,3
rc207,1061.14,3,1130.368,3
rc208,828.14,3,958.236,3
