Customer,XC,YC,demand,readyTime,dueTime,serviceTime,completeTime
1,41.0,49.0,10.0,190.0,974.0,10.0,984.0
2,35.0,17.0,7.0,18.0,792.0,10.0,802.0
3,55.0,45.0,13.0,289.0,822.0,10.0,832.0
4,55.0,20.0,19.0,679.0,800.0,10.0,810.0
5,15.0,30.0,26.0,20.0,906.0,10.0,916.0
6,25.0,30.0,3.0,355.0,574.0,10.0,584.0
7,20.0,50.0,5.0,72.0,669.0,10.0,679.0
8,10.0,43.0,9.0,393.0,492.0,10.0,502.0
9,55.0,60.0,16.0,394.0,503.0,10.0,513.0
10,30.0,60.0,16.0,517.0,692.0,10.0,702.0
11,20.0,65.0,12.0,206.0,325.0,10.0,335.0
12,50.0,35.0,19.0,15.0,725.0,10.0,735.0
13,30.0,25.0,23.0,694.0,823.0,10.0,833.0
14,15.0,10.0,20.0,32.0,694.0,10.0,704.0
15,30.0,5.0,8.0,176.0,299.0,10.0,309.0
16,10.0,20.0,19.0,102.0,543.0,10.0,553.0
17,5.0,30.0,2.0,673.0,930.0,10.0,940.0
18,20.0,40.0,12.0,229.0,582.0,10.0,592.0
19,15.0,60.0,17.0,95.0,552.0,10.0,562.0
20,45.0,65.0,9.0,418.0,829.0,10.0,839.0
21,45.0,20.0,11.0,18.0,727.0,10.0,737.0
22,45.0,10.0,18.0,349.0,554.0,10.0,564.0
23,55.0,5.0,29.0,206.0,325.0,10.0,335.0
24,65.0,35.0,3.0,435.0,960.0,10.0,970.0
25,65.0,20.0,6.0,826.0,956.0,10.0,966.0
26,45.0,30.0,17.0,328.0,927.0,10.0,937.0
27,35.0,40.0,16.0,44.0,315.0,10.0,325.0
28,41.0,37.0,16.0,6.0,526.0,10.0,536.0
29,64.0,42.0,9.0,29.0,513.0,10.0,523.0
30,40.0,60.0,21.0,199.0,414.0,10.0,424.0
31,31.0,52.0,27.0,17.0,744.0,10.0,754.0
32,35.0,69.0,23.0,482.0,955.0,10.0,965.0
33,53.0,52.0,11.0,24.0,299.0,10.0,309.0
34,65.0,55.0,14.0,265.0,878.0,10.0,888.0
35,63.0,65.0,8.0,626.0,873.0,10.0,883.0
36,2.0,60.0,5.0,41.0,328.0,10.0,338.0
37,20.0,20.0,8.0,339.0,960.0,10.0,970.0
38,5.0,5.0,16.0,298.0,409.0,10.0,419.0
39,60.0,12.0,31.0,33.0,344.0,10.0,354.0
40,40.0,25.0,9.0,300.0,497.0,10.0,507.0
41,42.0,7.0,5.0,336.0,571.0,10.0,581.0
42,24.0,12.0,5.0,25.0,292.0,10.0,302.0
43,23.0,3.0,7.0,458.0,867.0,10.0,877.0
44,11.0,14.0,18.0,230.0,343.0,10.0,353.0
45,6.0,38.0,16.0,29.0,309.0,10.0,319.0
46,2.0,48.0,1.0,338.0,805.0,10.0,815.0
47,8.0,56.0,27.0,34.0,602.0,10.0,612.0
48,13.0,52.0,36.0,200.0,962.0,10.0,972.0
49,6.0,68.0,30.0,441.0,600.0,10.0,610.0
50,47.0,47.0,13.0,272.0,917.0,10.0,927.0
