Customer,XC,YC,demand,readyTime,dueTime,serviceTime,completeTime,duration
1,45.0,68.0,10.0,850.0,1030.0,90.0,1120.0,180.0
2,45.0,70.0,30.0,758.0,938.0,90.0,1028.0,180.0
3,42.0,66.0,10.0,16.0,196.0,90.0,286.0,180.0
4,42.0,68.0,10.0,665.0,845.0,90.0,935.0,180.0
5,42.0,65.0,10.0,15.0,195.0,90.0,285.0,180.0
6,40.0,69.0,20.0,572.0,752.0,90.0,842.0,180.0
7,40.0,66.0,20.0,108.0,288.0,90.0,378.0,180.0
8,38.0,68.0,20.0,200.0,380.0,90.0,470.0,180.0
9,38.0,70.0,10.0,480.0,660.0,90.0,750.0,180.0
10,35.0,66.0,10.0,294.0,474.0,90.0,564.0,180.0
11,35.0,69.0,10.0,387.0,567.0,90.0,657.0,180.0
12,25.0,85.0,20.0,597.0,777.0,90.0,867.0,180.0
13,22.0,75.0,30.0,30.0,210.0,90.0,300.0,180.0
14,22.0,85.0,10.0,504.0,684.0,90.0,774.0,180.0
15,20.0,80.0,40.0,317.0,497.0,90.0,587.0,180.0
16,20.0,85.0,40.0,412.0,592.0,90.0,682.0,180.0
17,18.0,75.0,20.0,34.0,214.0,90.0,304.0,180.0
18,15.0,75.0,20.0,127.0,307.0,90.0,397.0,180.0
19,15.0,80.0,10.0,222.0,402.0,90.0,492.0,180.0
20,30.0,50.0,10.0,10.0,190.0,90.0,280.0,180.0
21,30.0,52.0,20.0,850.0,1030.0,90.0,1120.0,180.0
22,28.0,52.0,20.0,758.0,938.0,90.0,1028.0,180.0
23,28.0,55.0,10.0,665.0,845.0,90.0,935.0,180.0
24,25.0,50.0,10.0,15.0,195.0,90.0,285.0,180.0
25,25.0,52.0,40.0,107.0,287.0,90.0,377.0,180.0
