dataset,best_distance,best_nv, PSO_distance,PSO_nv
c101,191.3,3,191.81,3
c102,190.3,3,190.74,3
c103,190.3,3,190.74,3
c104,186.9,3,187.45,3
c105,191.3,3,191.81,3
c106,191.3,3,191.81,3
c107,191.3,3,191.81,3
c108,191.3,3,191.81,3
c109,191.3,3,191.81,3
r101,617.1,8,618.33,8
r102,547.1,7,548.11,7
r103,454.6,5,473.39,4
r104,416.9,4,418.3,4
r105,530.5,6,556.72,5
r106,465.4,3,466.48,5
r107,424.3,4,425.27,4
r108,397.3,4,405.39,4
r109,441.3,5,460.52,4
r110,444.1,4,445.8,4
r111,428.8,5,429.7,4
r112,393,4,394.1,4
rc101,461.1,4,462.16,4
rc102,351.8,3,352.74,3
rc103,332.8,3,333.92,3
rc104,306.6,3,307.14,3
rc105,411.3,4,412.38,4
rc106,345.5,3,346.51,3
rc107,298.3,3,298.95,3
rc108,294.5,3,294.99,3
c201,214.7,2,215.54,2
c202,217.7,2,223.32,1
c203,214.7,2,223.31,1
c204,214.7,2,221.28,1
c205,213.1,2,297.45,1
c206,214.7,2,285.39,1
c207,214.7,2,274.78,1
c208,214.5,2,229.84,1
r201,463.3,4,523.66,2
r202,410.5,4,455.53,2
r203,391.4,3,408.89,2
r204,355,2,389.91,1
r205,393,3,501.83,1
r206,374.4,3,413.21,1
r207,361.6,3,402.28,1
r208,328.2,1,329.33,1
r209,370.7,2,438.24,1
r210,404.6,3,513.98,1
r211,350.9,2,361.69,1
rc201,360.2,3,432.3,2
rc202,338,3,376.12,2
rc203,326.9,3,432.55,1
rc204,299.7,3,327.33,1
rc205,338,3,386.15,2
rc206,324,3,482.02,1
rc207,298.3,3,478.97,1
rc208,269.1,2,309.85,1
