Customer,XC,YC,demand,readyTime,dueTime,serviceTime,completeTime,duration
1,52.0,75.0,10.0,302.0,479.0,90.0,569.0,177.0
2,45.0,70.0,30.0,157.0,428.0,90.0,518.0,271.0
3,62.0,69.0,10.0,1138.0,1355.0,90.0,1445.0,217.0
4,60.0,66.0,10.0,1247.0,1434.0,90.0,1524.0,187.0
5,42.0,65.0,10.0,15.0,208.0,90.0,298.0,193.0
6,16.0,42.0,20.0,209.0,944.0,90.0,1034.0,735.0
7,58.0,70.0,20.0,1059.0,1246.0,90.0,1336.0,187.0
8,34.0,60.0,20.0,2035.0,3288.0,90.0,3378.0,1253.0
9,28.0,70.0,10.0,2090.0,3271.0,90.0,3361.0,1181.0
10,35.0,66.0,10.0,2311.0,3283.0,90.0,3373.0,972.0
11,35.0,69.0,10.0,2428.0,3127.0,90.0,3217.0,699.0
12,25.0,85.0,20.0,1772.0,2625.0,90.0,2715.0,853.0
13,22.0,75.0,30.0,2135.0,2834.0,90.0,2924.0,699.0
14,22.0,85.0,10.0,1586.0,2625.0,90.0,2715.0,1039.0
15,20.0,80.0,40.0,1858.0,2733.0,90.0,2823.0,875.0
16,20.0,85.0,40.0,1512.0,2515.0,90.0,2605.0,1003.0
17,18.0,75.0,20.0,1895.0,2886.0,90.0,2976.0,991.0
18,15.0,75.0,20.0,1299.0,2344.0,90.0,2434.0,1045.0
19,15.0,80.0,10.0,1461.0,2372.0,90.0,2462.0,911.0
20,30.0,50.0,10.0,10.0,963.0,90.0,1053.0,953.0
21,30.0,56.0,20.0,2062.0,3288.0,90.0,3378.0,1226.0
22,28.0,52.0,20.0,12.0,752.0,90.0,842.0,740.0
23,14.0,66.0,10.0,1316.0,2129.0,90.0,2219.0,813.0
24,25.0,50.0,10.0,15.0,532.0,90.0,622.0,517.0
25,22.0,66.0,40.0,2177.0,2990.0,90.0,3080.0,813.0
26,8.0,62.0,10.0,1036.0,2213.0,90.0,2303.0,1177.0
27,23.0,52.0,10.0,17.0,602.0,90.0,692.0,585.0
28,4.0,55.0,20.0,1010.0,2043.0,90.0,2133.0,1033.0
29,20.0,50.0,10.0,20.0,948.0,90.0,1038.0,928.0
30,20.0,55.0,10.0,63.0,702.0,90.0,792.0,639.0
31,10.0,35.0,20.0,309.0,1412.0,90.0,1502.0,1103.0
32,10.0,40.0,30.0,336.0,1009.0,90.0,1099.0,673.0
33,8.0,40.0,40.0,234.0,1295.0,90.0,1385.0,1061.0
34,8.0,45.0,20.0,954.0,1897.0,90.0,1987.0,943.0
35,5.0,35.0,10.0,377.0,1534.0,90.0,1624.0,1157.0
36,5.0,45.0,10.0,819.0,1846.0,90.0,1936.0,1027.0
37,2.0,40.0,20.0,494.0,1607.0,90.0,1697.0,1113.0
38,0.0,40.0,30.0,637.0,1648.0,90.0,1738.0,1011.0
39,0.0,45.0,20.0,834.0,1641.0,90.0,1731.0,807.0
40,36.0,18.0,10.0,1468.0,2329.0,90.0,2419.0,861.0
41,35.0,32.0,10.0,2480.0,3195.0,90.0,3285.0,715.0
42,33.0,32.0,20.0,2421.0,3070.0,90.0,3160.0,649.0
43,33.0,35.0,10.0,2368.0,2937.0,90.0,3027.0,569.0
44,32.0,20.0,10.0,1621.0,2364.0,90.0,2454.0,743.0
45,30.0,30.0,10.0,1805.0,2564.0,90.0,2654.0,759.0
46,34.0,25.0,30.0,1782.0,2395.0,90.0,2485.0,613.0
47,30.0,35.0,10.0,2242.0,2877.0,90.0,2967.0,635.0
48,36.0,40.0,10.0,2605.0,3266.0,90.0,3356.0,661.0
49,48.0,20.0,10.0,812.0,1281.0,90.0,1371.0,469.0
50,26.0,32.0,10.0,1842.0,2901.0,90.0,2991.0,1059.0
51,25.0,30.0,10.0,1883.0,2676.0,90.0,2766.0,793.0
52,25.0,35.0,10.0,2070.0,2859.0,90.0,2949.0,789.0
53,44.0,5.0,20.0,1078.0,1593.0,90.0,1683.0,515.0
54,42.0,10.0,40.0,998.0,1481.0,90.0,1571.0,483.0
55,42.0,15.0,10.0,897.0,1392.0,90.0,1482.0,495.0
56,40.0,5.0,30.0,1083.0,1776.0,90.0,1866.0,693.0
57,38.0,15.0,40.0,1426.0,2183.0,90.0,2273.0,757.0
58,38.0,5.0,30.0,1133.0,1910.0,90.0,2000.0,777.0
59,38.0,10.0,10.0,1392.0,2027.0,90.0,2117.0,635.0
60,35.0,5.0,20.0,1180.0,2049.0,90.0,2139.0,869.0
61,50.0,30.0,10.0,223.0,738.0,90.0,828.0,515.0
62,50.0,35.0,20.0,18.0,474.0,90.0,564.0,456.0
63,50.0,40.0,50.0,14.0,360.0,90.0,450.0,346.0
64,48.0,30.0,10.0,246.0,899.0,90.0,989.0,653.0
65,44.0,25.0,10.0,704.0,1197.0,90.0,1287.0,493.0
66,47.0,35.0,10.0,393.0,942.0,90.0,1032.0,549.0
67,47.0,40.0,10.0,12.0,424.0,90.0,514.0,412.0
68,42.0,30.0,10.0,641.0,1070.0,90.0,1160.0,429.0
69,45.0,35.0,10.0,534.0,985.0,90.0,1075.0,451.0
70,95.0,30.0,30.0,2119.0,2682.0,90.0,2772.0,563.0
71,95.0,35.0,20.0,2192.0,2419.0,90.0,2509.0,227.0
72,53.0,30.0,10.0,131.0,644.0,90.0,734.0,513.0
73,92.0,30.0,10.0,2169.0,2818.0,90.0,2908.0,649.0
74,53.0,35.0,50.0,87.0,498.0,90.0,588.0,411.0
75,45.0,65.0,20.0,49.0,346.0,90.0,436.0,297.0
76,90.0,35.0,10.0,2106.0,2315.0,90.0,2405.0,209.0
77,72.0,45.0,10.0,2701.0,3258.0,90.0,3348.0,557.0
78,78.0,40.0,20.0,2599.0,3164.0,90.0,3254.0,565.0
79,87.0,30.0,10.0,2505.0,2870.0,90.0,2960.0,365.0
80,85.0,25.0,10.0,2369.0,2816.0,90.0,2906.0,447.0
81,85.0,35.0,30.0,2563.0,3002.0,90.0,3092.0,439.0
82,75.0,55.0,20.0,1894.0,2115.0,90.0,2205.0,221.0
83,72.0,55.0,10.0,1751.0,2072.0,90.0,2162.0,321.0
84,70.0,58.0,20.0,1617.0,1824.0,90.0,1914.0,207.0
85,86.0,46.0,30.0,1969.0,2248.0,90.0,2338.0,279.0
86,66.0,55.0,10.0,1710.0,1921.0,90.0,2011.0,211.0
87,64.0,46.0,20.0,2976.0,3275.0,90.0,3365.0,299.0
88,65.0,60.0,30.0,1482.0,1769.0,90.0,1859.0,287.0
89,56.0,64.0,10.0,1275.0,1594.0,90.0,1684.0,319.0
90,60.0,55.0,10.0,2789.0,3279.0,90.0,3369.0,490.0
91,60.0,60.0,10.0,1440.0,1621.0,90.0,1711.0,181.0
92,67.0,85.0,20.0,646.0,901.0,90.0,991.0,255.0
93,42.0,58.0,40.0,8.0,258.0,90.0,348.0,250.0
94,65.0,82.0,10.0,708.0,1027.0,90.0,1117.0,319.0
95,62.0,80.0,30.0,852.0,1069.0,90.0,1159.0,217.0
96,62.0,40.0,10.0,2713.0,3275.0,90.0,3365.0,562.0
97,60.0,85.0,30.0,537.0,816.0,90.0,906.0,279.0
98,58.0,75.0,20.0,948.0,1167.0,90.0,1257.0,219.0
99,55.0,80.0,10.0,379.0,594.0,90.0,684.0,215.0
100,55.0,85.0,20.0,477.0,686.0,90.0,776.0,209.0
