Customer,XC,YC,demand,readyTime,dueTime,serviceTime,completeTime,duration
1,25.0,85.0,20.0,130.0,190.0,10.0,200.0,60.0
2,22.0,75.0,30.0,35.0,95.0,10.0,105.0,60.0
3,22.0,85.0,10.0,94.0,154.0,10.0,164.0,60.0
4,20.0,80.0,40.0,126.0,186.0,10.0,196.0,60.0
5,20.0,85.0,20.0,40.0,100.0,10.0,110.0,60.0
6,18.0,75.0,20.0,80.0,140.0,10.0,150.0,60.0
7,15.0,75.0,20.0,64.0,124.0,10.0,134.0,60.0
8,15.0,80.0,10.0,76.0,136.0,10.0,146.0,60.0
9,10.0,35.0,20.0,76.0,136.0,10.0,146.0,60.0
10,10.0,40.0,30.0,104.0,164.0,10.0,174.0,60.0
11,8.0,40.0,40.0,44.0,104.0,10.0,114.0,60.0
12,8.0,45.0,20.0,49.0,109.0,10.0,119.0,60.0
13,5.0,35.0,10.0,127.0,187.0,10.0,197.0,60.0
14,5.0,45.0,10.0,35.0,95.0,10.0,105.0,60.0
15,2.0,40.0,20.0,43.0,103.0,10.0,113.0,60.0
16,0.0,40.0,20.0,57.0,117.0,10.0,127.0,60.0
17,0.0,45.0,20.0,129.0,189.0,10.0,199.0,60.0
18,44.0,5.0,20.0,72.0,132.0,10.0,142.0,60.0
19,42.0,10.0,40.0,57.0,117.0,10.0,127.0,60.0
20,42.0,15.0,10.0,107.0,167.0,10.0,177.0,60.0
21,40.0,5.0,10.0,52.0,112.0,10.0,122.0,60.0
22,40.0,15.0,40.0,77.0,137.0,10.0,147.0,60.0
23,38.0,5.0,30.0,50.0,110.0,10.0,120.0,60.0
24,38.0,15.0,10.0,133.0,193.0,10.0,203.0,60.0
25,35.0,5.0,20.0,124.0,184.0,10.0,194.0,60.0
26,95.0,30.0,30.0,100.0,160.0,10.0,170.0,60.0
27,95.0,35.0,20.0,57.0,117.0,10.0,127.0,60.0
28,92.0,30.0,10.0,55.0,115.0,10.0,125.0,60.0
29,90.0,35.0,10.0,52.0,112.0,10.0,122.0,60.0
30,88.0,30.0,10.0,59.0,119.0,10.0,129.0,60.0
31,88.0,35.0,20.0,50.0,110.0,10.0,120.0,60.0
32,87.0,30.0,10.0,116.0,176.0,10.0,186.0,60.0
33,85.0,25.0,10.0,51.0,111.0,10.0,121.0,60.0
34,85.0,35.0,30.0,96.0,156.0,10.0,166.0,60.0
35,67.0,85.0,20.0,124.0,184.0,10.0,194.0,60.0
36,65.0,85.0,40.0,43.0,103.0,10.0,113.0,60.0
37,65.0,82.0,10.0,109.0,169.0,10.0,179.0,60.0
38,62.0,80.0,30.0,60.0,120.0,10.0,130.0,60.0
39,60.0,80.0,10.0,36.0,96.0,10.0,106.0,60.0
40,60.0,85.0,30.0,70.0,130.0,10.0,140.0,60.0
41,58.0,75.0,20.0,77.0,137.0,10.0,147.0,60.0
42,55.0,80.0,10.0,33.0,93.0,10.0,103.0,60.0
43,55.0,85.0,20.0,113.0,173.0,10.0,183.0,60.0
44,55.0,82.0,10.0,49.0,109.0,10.0,119.0,60.0
45,20.0,82.0,10.0,37.0,97.0,10.0,107.0,60.0
46,18.0,80.0,10.0,98.0,158.0,10.0,168.0,60.0
47,2.0,45.0,10.0,38.0,98.0,10.0,108.0,60.0
48,42.0,5.0,10.0,124.0,184.0,10.0,194.0,60.0
49,42.0,12.0,10.0,89.0,149.0,10.0,159.0,60.0
50,72.0,35.0,30.0,101.0,161.0,10.0,171.0,60.0
51,55.0,20.0,19.0,68.0,128.0,10.0,138.0,60.0
52,25.0,30.0,3.0,37.0,97.0,10.0,107.0,60.0
53,20.0,50.0,5.0,76.0,136.0,10.0,146.0,60.0
