Customer,XC,YC,demand,readyTime,dueTime,serviceTime,completeTime,duration
1,41.0,49.0,10.0,15.0,204.0,10.0,214.0,189.0
2,35.0,17.0,7.0,18.0,202.0,10.0,212.0,184.0
3,55.0,45.0,13.0,54.0,187.0,10.0,197.0,133.0
4,55.0,20.0,19.0,138.0,169.0,10.0,179.0,31.0
5,15.0,30.0,26.0,20.0,199.0,10.0,209.0,179.0
6,25.0,30.0,3.0,76.0,131.0,10.0,141.0,55.0
7,20.0,50.0,5.0,21.0,170.0,10.0,180.0,149.0
8,10.0,43.0,9.0,87.0,112.0,10.0,122.0,25.0
9,55.0,60.0,16.0,88.0,115.0,10.0,125.0,27.0
10,30.0,60.0,16.0,107.0,150.0,10.0,160.0,43.0
11,20.0,65.0,12.0,57.0,86.0,10.0,96.0,29.0
12,50.0,35.0,19.0,15.0,192.0,10.0,202.0,177.0
13,30.0,25.0,23.0,147.0,180.0,10.0,190.0,33.0
14,15.0,10.0,20.0,32.0,187.0,10.0,197.0,155.0
15,30.0,5.0,8.0,50.0,81.0,10.0,91.0,31.0
16,10.0,20.0,19.0,29.0,139.0,10.0,149.0,110.0
17,5.0,30.0,2.0,124.0,189.0,10.0,199.0,65.0
18,20.0,40.0,12.0,47.0,136.0,10.0,146.0,89.0
19,15.0,60.0,17.0,32.0,146.0,10.0,156.0,114.0
20,45.0,65.0,9.0,79.0,182.0,10.0,192.0,103.0
21,45.0,20.0,11.0,18.0,195.0,10.0,205.0,177.0
22,45.0,10.0,18.0,76.0,127.0,10.0,137.0,51.0
23,55.0,5.0,29.0,58.0,87.0,10.0,97.0,29.0
24,65.0,35.0,3.0,58.0,190.0,10.0,200.0,132.0
25,65.0,20.0,6.0,153.0,186.0,10.0,196.0,33.0
