Customer,XC,YC,demand,readyTime,dueTime,serviceTime,completeTime
1,52.0,75.0,10.0,302.0,479.0,90.0,569.0
2,45.0,70.0,30.0,157.0,428.0,90.0,518.0
3,62.0,69.0,10.0,1138.0,1355.0,90.0,1445.0
4,60.0,66.0,10.0,1247.0,1434.0,90.0,1524.0
5,42.0,65.0,10.0,15.0,208.0,90.0,298.0
6,16.0,42.0,20.0,209.0,944.0,90.0,1034.0
7,58.0,70.0,20.0,1059.0,1246.0,90.0,1336.0
8,34.0,60.0,20.0,2035.0,3288.0,90.0,3378.0
9,28.0,70.0,10.0,2090.0,3271.0,90.0,3361.0
10,35.0,66.0,10.0,2311.0,3283.0,90.0,3373.0
11,35.0,69.0,10.0,2428.0,3127.0,90.0,3217.0
12,25.0,85.0,20.0,1772.0,2625.0,90.0,2715.0
13,22.0,75.0,30.0,2135.0,2834.0,90.0,2924.0
14,22.0,85.0,10.0,1586.0,2625.0,90.0,2715.0
15,20.0,80.0,40.0,1858.0,2733.0,90.0,2823.0
16,20.0,85.0,40.0,1512.0,2515.0,90.0,2605.0
17,18.0,75.0,20.0,1895.0,2886.0,90.0,2976.0
18,15.0,75.0,20.0,1299.0,2344.0,90.0,2434.0
19,15.0,80.0,10.0,1461.0,2372.0,90.0,2462.0
20,30.0,50.0,10.0,10.0,963.0,90.0,1053.0
21,30.0,56.0,20.0,2062.0,3288.0,90.0,3378.0
22,28.0,52.0,20.0,12.0,752.0,90.0,842.0
23,14.0,66.0,10.0,1316.0,2129.0,90.0,2219.0
24,25.0,50.0,10.0,15.0,532.0,90.0,622.0
25,22.0,66.0,40.0,2177.0,2990.0,90.0,3080.0
26,8.0,62.0,10.0,1036.0,2213.0,90.0,2303.0
27,23.0,52.0,10.0,17.0,602.0,90.0,692.0
28,4.0,55.0,20.0,1010.0,2043.0,90.0,2133.0
29,20.0,50.0,10.0,20.0,948.0,90.0,1038.0
30,20.0,55.0,10.0,63.0,702.0,90.0,792.0
31,10.0,35.0,20.0,309.0,1412.0,90.0,1502.0
32,10.0,40.0,30.0,336.0,1009.0,90.0,1099.0
33,8.0,40.0,40.0,234.0,1295.0,90.0,1385.0
34,8.0,45.0,20.0,954.0,1897.0,90.0,1987.0
35,5.0,35.0,10.0,377.0,1534.0,90.0,1624.0
36,5.0,45.0,10.0,819.0,1846.0,90.0,1936.0
37,2.0,40.0,20.0,494.0,1607.0,90.0,1697.0
38,0.0,40.0,30.0,637.0,1648.0,90.0,1738.0
39,0.0,45.0,20.0,834.0,1641.0,90.0,1731.0
40,36.0,18.0,10.0,1468.0,2329.0,90.0,2419.0
41,35.0,32.0,10.0,2480.0,3195.0,90.0,3285.0
42,33.0,32.0,20.0,2421.0,3070.0,90.0,3160.0
43,33.0,35.0,10.0,2368.0,2937.0,90.0,3027.0
44,32.0,20.0,10.0,1621.0,2364.0,90.0,2454.0
45,30.0,30.0,10.0,1805.0,2564.0,90.0,2654.0
46,34.0,25.0,30.0,1782.0,2395.0,90.0,2485.0
47,30.0,35.0,10.0,2242.0,2877.0,90.0,2967.0
48,36.0,40.0,10.0,2605.0,3266.0,90.0,3356.0
49,48.0,20.0,10.0,812.0,1281.0,90.0,1371.0
50,26.0,32.0,10.0,1842.0,2901.0,90.0,2991.0
