Customer,XC,YC,demand,readyTime,dueTime,serviceTime,completeTime
1,25.0,85.0,20.0,591.0,874.0,10.0,884.0
2,22.0,75.0,30.0,73.0,350.0,10.0,360.0
3,22.0,85.0,10.0,473.0,588.0,10.0,598.0
4,20.0,80.0,40.0,418.0,913.0,10.0,923.0
5,20.0,85.0,20.0,40.0,390.0,10.0,400.0
6,18.0,75.0,20.0,249.0,646.0,10.0,656.0
7,15.0,75.0,20.0,281.0,438.0,10.0,448.0
8,15.0,80.0,10.0,272.0,581.0,10.0,591.0
9,10.0,35.0,20.0,236.0,625.0,10.0,635.0
10,10.0,40.0,30.0,470.0,687.0,10.0,697.0
11,8.0,40.0,40.0,33.0,510.0,10.0,520.0
12,8.0,45.0,20.0,166.0,399.0,10.0,409.0
13,5.0,35.0,10.0,359.0,911.0,10.0,921.0
14,5.0,45.0,10.0,35.0,457.0,10.0,467.0
15,2.0,40.0,20.0,39.0,538.0,10.0,548.0
16,0.0,40.0,20.0,214.0,415.0,10.0,425.0
17,0.0,45.0,20.0,359.0,909.0,10.0,919.0
18,44.0,5.0,20.0,338.0,451.0,10.0,461.0
19,42.0,10.0,40.0,205.0,422.0,10.0,432.0
20,42.0,15.0,10.0,511.0,682.0,10.0,692.0
21,40.0,5.0,10.0,158.0,391.0,10.0,401.0
22,40.0,15.0,40.0,263.0,606.0,10.0,616.0
23,38.0,5.0,30.0,45.0,522.0,10.0,532.0
24,38.0,15.0,10.0,598.0,883.0,10.0,893.0
25,35.0,5.0,20.0,348.0,904.0,10.0,914.0
26,95.0,30.0,30.0,509.0,668.0,10.0,678.0
27,95.0,35.0,20.0,57.0,664.0,10.0,674.0
28,92.0,30.0,10.0,68.0,349.0,10.0,359.0
29,90.0,35.0,10.0,131.0,376.0,10.0,386.0
30,88.0,30.0,10.0,114.0,497.0,10.0,507.0
31,88.0,35.0,20.0,102.0,347.0,10.0,357.0
32,87.0,30.0,10.0,564.0,797.0,10.0,807.0
33,85.0,25.0,10.0,51.0,673.0,10.0,683.0
34,85.0,35.0,30.0,462.0,631.0,10.0,641.0
35,67.0,85.0,20.0,396.0,905.0,10.0,915.0
36,65.0,85.0,40.0,43.0,712.0,10.0,722.0
37,65.0,82.0,10.0,530.0,703.0,10.0,713.0
38,62.0,80.0,30.0,131.0,544.0,10.0,554.0
39,60.0,80.0,10.0,36.0,800.0,10.0,810.0
40,60.0,85.0,30.0,233.0,544.0,10.0,554.0
41,58.0,75.0,20.0,207.0,664.0,10.0,674.0
42,55.0,80.0,10.0,33.0,624.0,10.0,634.0
43,55.0,85.0,20.0,549.0,718.0,10.0,728.0
44,55.0,82.0,10.0,62.0,491.0,10.0,501.0
45,20.0,82.0,10.0,37.0,677.0,10.0,687.0
46,18.0,80.0,10.0,435.0,662.0,10.0,672.0
47,2.0,45.0,10.0,38.0,366.0,10.0,376.0
48,42.0,5.0,10.0,636.0,904.0,10.0,914.0
49,42.0,12.0,10.0,423.0,576.0,10.0,586.0
50,72.0,35.0,30.0,471.0,662.0,10.0,672.0
