Customer,XC,YC,demand,readyTime,dueTime,serviceTime,completeTime,duration
1,25.0,85.0,20.0,388.0,911.0,10.0,921.0,523.0
2,22.0,75.0,30.0,30.0,546.0,10.0,556.0,516.0
3,22.0,85.0,10.0,353.0,708.0,10.0,718.0,355.0
4,20.0,80.0,40.0,425.0,913.0,10.0,923.0,488.0
5,20.0,85.0,20.0,40.0,630.0,10.0,640.0,590.0
6,18.0,75.0,20.0,228.0,667.0,10.0,677.0,439.0
7,15.0,75.0,20.0,161.0,558.0,10.0,568.0,397.0
8,15.0,80.0,10.0,229.0,624.0,10.0,634.0,395.0
9,10.0,35.0,20.0,213.0,648.0,10.0,658.0,435.0
10,10.0,40.0,30.0,404.0,753.0,10.0,763.0,349.0
11,8.0,40.0,40.0,33.0,511.0,10.0,521.0,478.0
12,8.0,45.0,20.0,46.0,519.0,10.0,529.0,473.0
13,5.0,35.0,10.0,395.0,911.0,10.0,921.0,516.0
14,5.0,45.0,10.0,35.0,697.0,10.0,707.0,662.0
15,2.0,40.0,20.0,39.0,528.0,10.0,538.0,489.0
16,0.0,40.0,20.0,94.0,535.0,10.0,545.0,441.0
17,0.0,45.0,20.0,394.0,909.0,10.0,919.0,515.0
18,44.0,5.0,20.0,218.0,571.0,10.0,581.0,353.0
19,42.0,10.0,40.0,85.0,542.0,10.0,552.0,457.0
20,42.0,15.0,10.0,391.0,802.0,10.0,812.0,411.0
21,40.0,5.0,10.0,45.0,517.0,10.0,527.0,472.0
22,40.0,15.0,40.0,229.0,640.0,10.0,650.0,411.0
23,38.0,5.0,30.0,45.0,523.0,10.0,533.0,478.0
24,38.0,15.0,10.0,389.0,914.0,10.0,924.0,525.0
25,35.0,5.0,20.0,386.0,904.0,10.0,914.0,518.0
26,95.0,30.0,30.0,389.0,788.0,10.0,798.0,399.0
27,95.0,35.0,20.0,57.0,600.0,10.0,610.0,543.0
28,92.0,30.0,10.0,55.0,575.0,10.0,585.0,520.0
29,90.0,35.0,10.0,52.0,536.0,10.0,546.0,484.0
30,88.0,30.0,10.0,90.0,521.0,10.0,531.0,431.0
31,88.0,35.0,20.0,50.0,534.0,10.0,544.0,484.0
32,87.0,30.0,10.0,425.0,898.0,10.0,908.0,473.0
33,85.0,25.0,10.0,51.0,602.0,10.0,612.0,551.0
34,85.0,35.0,30.0,342.0,751.0,10.0,761.0,409.0
35,67.0,85.0,20.0,410.0,905.0,10.0,915.0,495.0
36,65.0,85.0,40.0,43.0,617.0,10.0,627.0,574.0
37,65.0,82.0,10.0,410.0,823.0,10.0,833.0,413.0
38,62.0,80.0,30.0,114.0,561.0,10.0,571.0,447.0
39,60.0,80.0,10.0,36.0,658.0,10.0,668.0,622.0
40,60.0,85.0,30.0,191.0,586.0,10.0,596.0,395.0
41,58.0,75.0,20.0,201.0,670.0,10.0,680.0,469.0
42,55.0,80.0,10.0,33.0,568.0,10.0,578.0,535.0
43,55.0,85.0,20.0,429.0,838.0,10.0,848.0,409.0
44,55.0,82.0,10.0,49.0,504.0,10.0,514.0,455.0
45,20.0,82.0,10.0,37.0,597.0,10.0,607.0,560.0
46,18.0,80.0,10.0,315.0,782.0,10.0,792.0,467.0
47,2.0,45.0,10.0,38.0,606.0,10.0,616.0,568.0
48,42.0,5.0,10.0,396.0,904.0,10.0,914.0,508.0
49,42.0,12.0,10.0,341.0,658.0,10.0,668.0,317.0
50,72.0,35.0,30.0,351.0,782.0,10.0,792.0,431.0
51,55.0,20.0,19.0,161.0,610.0,10.0,620.0,449.0
52,25.0,30.0,3.0,25.0,516.0,10.0,526.0,491.0
53,20.0,50.0,5.0,239.0,630.0,10.0,640.0,391.0
54,55.0,60.0,16.0,448.0,873.0,10.0,883.0,425.0
55,30.0,60.0,16.0,420.0,897.0,10.0,907.0,477.0
56,50.0,35.0,19.0,390.0,843.0,10.0,853.0,453.0
57,30.0,25.0,23.0,227.0,686.0,10.0,696.0,459.0
58,15.0,10.0,20.0,401.0,902.0,10.0,912.0,501.0
59,10.0,20.0,19.0,42.0,706.0,10.0,716.0,664.0
60,15.0,60.0,17.0,401.0,923.0,10.0,933.0,522.0
61,45.0,65.0,9.0,110.0,525.0,10.0,535.0,415.0
62,65.0,35.0,3.0,29.0,548.0,10.0,558.0,519.0
63,65.0,20.0,6.0,39.0,593.0,10.0,603.0,554.0
64,45.0,30.0,17.0,20.0,498.0,10.0,508.0,478.0
65,35.0,40.0,16.0,11.0,530.0,10.0,540.0,519.0
66,41.0,37.0,16.0,404.0,847.0,10.0,857.0,443.0
67,64.0,42.0,9.0,100.0,555.0,10.0,565.0,455.0
68,40.0,60.0,21.0,436.0,907.0,10.0,917.0,471.0
69,31.0,52.0,27.0,9.0,510.0,10.0,520.0,501.0
70,35.0,69.0,23.0,330.0,930.0,10.0,940.0,600.0
71,65.0,55.0,14.0,81.0,520.0,10.0,530.0,439.0
72,63.0,65.0,8.0,27.0,622.0,10.0,632.0,595.0
73,2.0,60.0,5.0,135.0,556.0,10.0,566.0,421.0
74,20.0,20.0,8.0,430.0,913.0,10.0,923.0,483.0
75,5.0,5.0,16.0,63.0,520.0,10.0,530.0,457.0
76,60.0,12.0,31.0,125.0,530.0,10.0,540.0,405.0
77,23.0,3.0,7.0,390.0,900.0,10.0,910.0,510.0
78,8.0,56.0,27.0,190.0,659.0,10.0,669.0,469.0
79,6.0,68.0,30.0,215.0,608.0,10.0,618.0,393.0
80,47.0,47.0,13.0,444.0,942.0,10.0,952.0,498.0
81,49.0,58.0,10.0,249.0,580.0,10.0,590.0,331.0
82,27.0,43.0,9.0,14.0,506.0,10.0,516.0,492.0
83,37.0,31.0,14.0,19.0,566.0,10.0,576.0,547.0
84,57.0,29.0,18.0,259.0,650.0,10.0,660.0,391.0
85,63.0,23.0,2.0,198.0,609.0,10.0,619.0,411.0
86,21.0,24.0,28.0,212.0,605.0,10.0,615.0,393.0
87,12.0,24.0,13.0,272.0,565.0,10.0,575.0,293.0
88,24.0,58.0,19.0,90.0,549.0,10.0,559.0,459.0
89,67.0,5.0,25.0,325.0,897.0,10.0,907.0,572.0
90,37.0,47.0,6.0,204.0,633.0,10.0,643.0,429.0
91,49.0,42.0,13.0,442.0,937.0,10.0,947.0,495.0
92,53.0,43.0,14.0,14.0,581.0,10.0,591.0,567.0
93,61.0,52.0,3.0,373.0,928.0,10.0,938.0,555.0
94,57.0,48.0,23.0,265.0,638.0,10.0,648.0,373.0
95,56.0,37.0,6.0,20.0,539.0,10.0,549.0,519.0
96,55.0,54.0,26.0,418.0,825.0,10.0,835.0,407.0
97,4.0,18.0,35.0,426.0,787.0,10.0,797.0,361.0
98,26.0,52.0,9.0,14.0,499.0,10.0,509.0,485.0
99,26.0,35.0,15.0,149.0,586.0,10.0,596.0,437.0
100,31.0,67.0,3.0,356.0,930.0,10.0,940.0,574.0
