Customer,XC,YC,demand,readyTime,dueTime,serviceTime,completeTime,duration
1,41.0,49.0,10.0,0.0,974.0,10.0,984.0,974.0
2,35.0,17.0,7.0,0.0,972.0,10.0,982.0,972.0
3,55.0,45.0,13.0,0.0,967.0,10.0,977.0,967.0
4,55.0,20.0,19.0,620.0,860.0,10.0,870.0,240.0
5,15.0,30.0,26.0,0.0,969.0,10.0,979.0,969.0
6,25.0,30.0,3.0,345.0,585.0,10.0,595.0,240.0
7,20.0,50.0,5.0,0.0,968.0,10.0,978.0,968.0
8,10.0,43.0,9.0,323.0,563.0,10.0,573.0,240.0
9,55.0,60.0,16.0,329.0,569.0,10.0,579.0,240.0
10,30.0,60.0,16.0,485.0,725.0,10.0,735.0,240.0
11,20.0,65.0,12.0,146.0,386.0,10.0,396.0,240.0
12,50.0,35.0,19.0,0.0,975.0,10.0,985.0,975.0
13,30.0,25.0,23.0,639.0,879.0,10.0,889.0,240.0
14,15.0,10.0,20.0,0.0,957.0,10.0,967.0,957.0
15,30.0,5.0,8.0,118.0,358.0,10.0,368.0,240.0
16,10.0,20.0,19.0,0.0,960.0,10.0,970.0,960.0
17,5.0,30.0,2.0,682.0,922.0,10.0,932.0,240.0
18,20.0,40.0,12.0,0.0,974.0,10.0,984.0,974.0
19,15.0,60.0,17.0,0.0,957.0,10.0,967.0,957.0
20,45.0,65.0,9.0,0.0,958.0,10.0,968.0,958.0
21,45.0,20.0,11.0,0.0,971.0,10.0,981.0,971.0
22,45.0,10.0,18.0,332.0,572.0,10.0,582.0,240.0
23,55.0,5.0,29.0,146.0,386.0,10.0,396.0,240.0
24,65.0,35.0,3.0,0.0,960.0,10.0,970.0,960.0
25,65.0,20.0,6.0,716.0,956.0,10.0,966.0,240.0
