Customer,XC,YC,demand,readyTime,dueTime,serviceTime,completeTime
1,45.0,68.0,10.0,890.0,989.0,90.0,1079.0
2,45.0,70.0,30.0,816.0,879.0,90.0,969.0
3,42.0,66.0,10.0,55.0,156.0,90.0,246.0
4,42.0,68.0,10.0,703.0,806.0,90.0,896.0
5,42.0,65.0,10.0,15.0,60.0,90.0,150.0
6,40.0,69.0,20.0,559.0,764.0,90.0,854.0
7,40.0,66.0,20.0,172.0,223.0,90.0,313.0
8,38.0,68.0,20.0,250.0,329.0,90.0,419.0
9,38.0,70.0,10.0,489.0,650.0,90.0,740.0
10,35.0,66.0,10.0,361.0,406.0,90.0,496.0
11,35.0,69.0,10.0,450.0,503.0,90.0,593.0
12,25.0,85.0,20.0,647.0,726.0,90.0,816.0
13,22.0,75.0,30.0,30.0,95.0,90.0,185.0
14,22.0,85.0,10.0,571.0,616.0,90.0,706.0
15,20.0,80.0,40.0,392.0,421.0,90.0,511.0
16,20.0,85.0,40.0,478.0,525.0,90.0,615.0
17,18.0,75.0,20.0,105.0,142.0,90.0,232.0
18,15.0,75.0,20.0,172.0,261.0,90.0,351.0
19,15.0,80.0,10.0,274.0,349.0,90.0,439.0
20,30.0,50.0,10.0,10.0,77.0,90.0,167.0
21,30.0,52.0,20.0,918.0,961.0,90.0,1051.0
22,28.0,52.0,20.0,806.0,889.0,90.0,979.0
23,28.0,55.0,10.0,739.0,770.0,90.0,860.0
24,25.0,50.0,10.0,55.0,154.0,90.0,244.0
25,25.0,52.0,40.0,172.0,221.0,90.0,311.0
26,25.0,55.0,10.0,612.0,711.0,90.0,801.0
27,23.0,52.0,10.0,264.0,313.0,90.0,403.0
28,23.0,55.0,20.0,553.0,586.0,90.0,676.0
29,20.0,50.0,10.0,365.0,398.0,90.0,488.0
30,20.0,55.0,10.0,452.0,501.0,90.0,591.0
31,10.0,35.0,20.0,204.0,233.0,90.0,323.0
32,10.0,40.0,30.0,31.0,189.0,90.0,279.0
33,8.0,40.0,40.0,42.0,203.0,90.0,293.0
34,8.0,45.0,20.0,715.0,852.0,90.0,942.0
35,5.0,35.0,10.0,251.0,376.0,90.0,466.0
36,5.0,45.0,10.0,648.0,733.0,90.0,823.0
37,2.0,40.0,20.0,365.0,452.0,90.0,542.0
38,0.0,40.0,30.0,474.0,527.0,90.0,617.0
39,0.0,45.0,20.0,541.0,650.0,90.0,740.0
40,35.0,30.0,10.0,240.0,345.0,90.0,435.0
41,35.0,32.0,10.0,123.0,278.0,90.0,368.0
42,33.0,32.0,20.0,19.0,225.0,90.0,315.0
43,33.0,35.0,10.0,16.0,153.0,90.0,243.0
44,32.0,30.0,10.0,338.0,433.0,90.0,523.0
45,30.0,30.0,10.0,513.0,628.0,90.0,718.0
46,30.0,32.0,30.0,415.0,542.0,90.0,632.0
47,30.0,35.0,10.0,872.0,1127.0,90.0,1217.0
48,28.0,30.0,10.0,599.0,726.0,90.0,816.0
49,28.0,35.0,10.0,917.0,1126.0,90.0,1216.0
50,26.0,32.0,10.0,779.0,916.0,90.0,1006.0
