dataset,GA_distance,GA_nv
c101,828.94,10
c102,828.94,10
c103,828.06,10
c104,824.78,10
c105,828.94,10
c106,828.94,10
c107,828.94,10
c108,828.94,10
c109,828.94,10
r101,1685.27,19
r102,1523.1,18
r103,1348.28,13
r104,1010.36,10
r105,1427.72,15
r106,1273.62,12
r107,1100.97,11
r108,960.26,10
r109,1211.81,12
r110,1146.11,11
r111,1132.51,11
r112,985.99,10
rc101,1678.86,15
rc102,1536.04,13
rc103,1309.59,12
rc104,1154.18,10
rc105,1623.33,14
rc106,1441.46,12
rc107,1271.59,11
rc108,1139.82,10
c201,591.56,3
c202,591.56,3
c203,591.17,3
c204,596.55,3
c205,588.88,3
c206,588.49,3
c207,588.29,3
c208,588.32,3
r201,1276.2,4
r202,1087.52,4
r203,952.52,3
r204,766.92,3
r205,1036.08,3
r206,921.32,3
r207,821.32,3
r208,738.41,3
r209,928.93,3
r210,983.77,3
r211,786.23,2
rc201,1438.43,4
rc202,1181.99,4
rc203,1078.38,3
rc204,810.15,3
rc205,1334.83,4
rc206,1203.7,3
rc207,1093.25,3
rc208,912.76,3
