dataset,best_distance,best_nv, PSO_distance,PSO_nv
c101,362.4,5,363.25,5
c102,361.4,5,361.17,5
c103,361.4,5,361.17,5
c104,358,5,358.88,5
c105,362.4,5,363.25,5
c106,362.4,5,363.25,5
c107,362.4,5,363.25,5
c108,362.4,5,363.25,5
c109,362.4,5,363.25,5
r101,1044,12,1100.72,11
r102,909,11,923.71,10
r103,772.9,9,790.17,8
r104,625.4,6,631.58,6
r105,899.9,9,983.49,8
r106,793,5,865.93,7
r107,711.1,7,737.1,6
r108,617.7,6,624.29,6
r109,786.8,8,806.97,7
r110,697,7,720.4,7
r111,707.2,7,756.35,6
r112,630.2,6,638.49,6
rc101,944,8,945.58,8
rc102,822.5,7,823.97,7
rc103,710.9,6,712.91,6
rc104,545.8,5,546.51,5
rc105,855.3,8,856.97,8
rc106,723.2,6,724.65,6
rc107,642.7,6,645.7,6
rc108,598.1,6,599.17,6
c201,360.2,3,444.96,2
c202,360.2,3,403.81,2
c203,359.8,3,402.52,2
c204,350.1,2,356.77,2
c205,359.8,3,429.12,2
c206,359.8,3,412.5,2
c207,359.6,3,426.13,2
c208,350.5,2,352.29,2
r201,791.9,6,953.29,2
r202,698.5,5,815.23,2
r203,605.3,5,668.36,2
r204,506.4,2,518.57,2
r205,690.1,4,756.38,2
r206,632.4,4,661.55,2
r207,,,593.95,2
r208,,,508.41,2
r209,600.6,4,658.28,2
r210,645.6,4,670.99,2
r211,535.5,3,562.74,2
rc201,684.8,5,838.76,3
rc202,613.6,5,867.26,2
rc203,555.3,4,674.44,2
rc204,444.2,3,479.22,2
rc205,630.2,5,765.02,3
rc206,610,5,755.13,2
rc207,558.6,4,655.81,2
rc208,,,498.79,2
