Customer,XC,YC,demand,readyTime,dueTime,serviceTime,completeTime,duration
1,25.0,85.0,20.0,673.0,793.0,10.0,803.0,120.0
2,22.0,75.0,30.0,152.0,272.0,10.0,282.0,120.0
3,22.0,85.0,10.0,471.0,591.0,10.0,601.0,120.0
4,20.0,80.0,40.0,644.0,764.0,10.0,774.0,120.0
5,20.0,85.0,20.0,73.0,193.0,10.0,203.0,120.0
6,18.0,75.0,20.0,388.0,508.0,10.0,518.0,120.0
7,15.0,75.0,20.0,300.0,420.0,10.0,430.0,120.0
8,15.0,80.0,10.0,367.0,487.0,10.0,497.0,120.0
9,10.0,35.0,20.0,371.0,491.0,10.0,501.0,120.0
10,10.0,40.0,30.0,519.0,639.0,10.0,649.0,120.0
11,8.0,40.0,40.0,195.0,315.0,10.0,325.0,120.0
12,8.0,45.0,20.0,223.0,343.0,10.0,353.0,120.0
13,5.0,35.0,10.0,653.0,773.0,10.0,783.0,120.0
14,5.0,45.0,10.0,35.0,155.0,10.0,165.0,120.0
15,2.0,40.0,20.0,174.0,294.0,10.0,304.0,120.0
16,0.0,40.0,20.0,255.0,375.0,10.0,385.0,120.0
17,0.0,45.0,20.0,703.0,823.0,10.0,833.0,120.0
18,44.0,5.0,20.0,335.0,455.0,10.0,465.0,120.0
19,42.0,10.0,40.0,254.0,374.0,10.0,384.0,120.0
20,42.0,15.0,10.0,537.0,657.0,10.0,667.0,120.0
21,40.0,5.0,10.0,215.0,335.0,10.0,345.0,120.0
22,40.0,15.0,40.0,375.0,495.0,10.0,505.0,120.0
23,38.0,5.0,30.0,201.0,321.0,10.0,331.0,120.0
24,38.0,15.0,10.0,681.0,801.0,10.0,811.0,120.0
25,35.0,5.0,20.0,784.0,904.0,10.0,914.0,120.0
