Customer,XC,YC,demand,readyTime,dueTime,serviceTime,completeTime
1,45.0,68.0,10.0,830.0,1049.0,90.0,1139.0
2,45.0,70.0,30.0,756.0,939.0,90.0,1029.0
3,42.0,66.0,10.0,16.0,336.0,90.0,426.0
4,42.0,68.0,10.0,643.0,866.0,90.0,956.0
5,42.0,65.0,10.0,15.0,226.0,90.0,316.0
6,40.0,69.0,20.0,499.0,824.0,90.0,914.0
7,40.0,66.0,20.0,87.0,308.0,90.0,398.0
8,38.0,68.0,20.0,150.0,429.0,90.0,519.0
9,38.0,70.0,10.0,429.0,710.0,90.0,800.0
10,35.0,66.0,10.0,279.0,488.0,90.0,578.0
11,35.0,69.0,10.0,363.0,590.0,90.0,680.0
12,25.0,85.0,20.0,547.0,826.0,90.0,916.0
13,22.0,75.0,30.0,30.0,280.0,90.0,370.0
14,22.0,85.0,10.0,489.0,698.0,90.0,788.0
15,20.0,80.0,40.0,318.0,495.0,90.0,585.0
16,20.0,85.0,40.0,394.0,609.0,90.0,699.0
17,18.0,75.0,20.0,33.0,226.0,90.0,316.0
18,15.0,75.0,20.0,68.0,365.0,90.0,455.0
19,15.0,80.0,10.0,176.0,447.0,90.0,537.0
20,30.0,50.0,10.0,10.0,265.0,90.0,355.0
21,30.0,52.0,20.0,836.0,1043.0,90.0,1133.0
22,28.0,52.0,20.0,704.0,991.0,90.0,1081.0
23,28.0,55.0,10.0,664.0,845.0,90.0,935.0
24,25.0,50.0,10.0,15.0,333.0,90.0,423.0
25,25.0,52.0,40.0,88.0,305.0,90.0,395.0
26,25.0,55.0,10.0,502.0,821.0,90.0,911.0
27,23.0,52.0,10.0,179.0,398.0,90.0,488.0
28,23.0,55.0,20.0,476.0,663.0,90.0,753.0
29,20.0,50.0,10.0,288.0,475.0,90.0,565.0
30,20.0,55.0,10.0,368.0,585.0,90.0,675.0
31,10.0,35.0,20.0,144.0,293.0,90.0,383.0
32,10.0,40.0,30.0,31.0,309.0,90.0,399.0
33,8.0,40.0,40.0,33.0,313.0,90.0,403.0
34,8.0,45.0,20.0,655.0,912.0,90.0,1002.0
35,5.0,35.0,10.0,191.0,436.0,90.0,526.0
36,5.0,45.0,10.0,588.0,793.0,90.0,883.0
37,2.0,40.0,20.0,305.0,512.0,90.0,602.0
38,0.0,40.0,30.0,414.0,587.0,90.0,677.0
39,0.0,45.0,20.0,481.0,710.0,90.0,800.0
40,35.0,30.0,10.0,180.0,405.0,90.0,495.0
41,35.0,32.0,10.0,63.0,338.0,90.0,428.0
42,33.0,32.0,20.0,19.0,345.0,90.0,435.0
43,33.0,35.0,10.0,16.0,273.0,90.0,363.0
44,32.0,30.0,10.0,278.0,493.0,90.0,583.0
45,30.0,30.0,10.0,453.0,688.0,90.0,778.0
46,30.0,32.0,30.0,355.0,602.0,90.0,692.0
47,30.0,35.0,10.0,837.0,1127.0,90.0,1217.0
48,28.0,30.0,10.0,539.0,786.0,90.0,876.0
49,28.0,35.0,10.0,867.0,1126.0,90.0,1216.0
50,26.0,32.0,10.0,719.0,976.0,90.0,1066.0
