Customer,XC,YC,demand,readyTime,dueTime,serviceTime,completeTime
1,41.0,49.0,10.0,0.0,974.0,10.0,984.0
2,35.0,17.0,7.0,0.0,972.0,10.0,982.0
3,55.0,45.0,13.0,0.0,967.0,10.0,977.0
4,55.0,20.0,19.0,678.0,801.0,10.0,811.0
5,15.0,30.0,26.0,0.0,969.0,10.0,979.0
6,25.0,30.0,3.0,0.0,978.0,10.0,988.0
7,20.0,50.0,5.0,0.0,968.0,10.0,978.0
8,10.0,43.0,9.0,404.0,481.0,10.0,491.0
9,55.0,60.0,16.0,400.0,497.0,10.0,507.0
10,30.0,60.0,16.0,0.0,964.0,10.0,974.0
11,20.0,65.0,12.0,206.0,325.0,10.0,335.0
12,50.0,35.0,19.0,0.0,975.0,10.0,985.0
13,30.0,25.0,23.0,690.0,827.0,10.0,837.0
14,15.0,10.0,20.0,0.0,957.0,10.0,967.0
15,30.0,5.0,8.0,175.0,300.0,10.0,310.0
16,10.0,20.0,19.0,0.0,960.0,10.0,970.0
17,5.0,30.0,2.0,0.0,959.0,10.0,969.0
18,20.0,40.0,12.0,0.0,974.0,10.0,984.0
19,15.0,60.0,17.0,0.0,957.0,10.0,967.0
20,45.0,65.0,9.0,0.0,958.0,10.0,968.0
21,45.0,20.0,11.0,0.0,971.0,10.0,981.0
22,45.0,10.0,18.0,0.0,963.0,10.0,973.0
23,55.0,5.0,29.0,206.0,325.0,10.0,335.0
24,65.0,35.0,3.0,0.0,960.0,10.0,970.0
25,65.0,20.0,6.0,817.0,956.0,10.0,966.0
26,45.0,30.0,17.0,0.0,978.0,10.0,988.0
27,35.0,40.0,16.0,0.0,985.0,10.0,995.0
28,41.0,37.0,16.0,0.0,983.0,10.0,993.0
29,64.0,42.0,9.0,0.0,960.0,10.0,970.0
30,40.0,60.0,21.0,0.0,964.0,10.0,974.0
31,31.0,52.0,27.0,0.0,972.0,10.0,982.0
32,35.0,69.0,23.0,0.0,956.0,10.0,966.0
33,53.0,52.0,11.0,0.0,965.0,10.0,975.0
34,65.0,55.0,14.0,0.0,953.0,10.0,963.0
35,63.0,65.0,8.0,0.0,948.0,10.0,958.0
36,2.0,60.0,5.0,0.0,948.0,10.0,958.0
37,20.0,20.0,8.0,0.0,968.0,10.0,978.0
38,5.0,5.0,16.0,302.0,405.0,10.0,415.0
39,60.0,12.0,31.0,0.0,956.0,10.0,966.0
40,40.0,25.0,9.0,0.0,978.0,10.0,988.0
41,42.0,7.0,5.0,0.0,961.0,10.0,971.0
42,24.0,12.0,5.0,0.0,964.0,10.0,974.0
43,23.0,3.0,7.0,0.0,955.0,10.0,965.0
44,11.0,14.0,18.0,233.0,340.0,10.0,350.0
45,6.0,38.0,16.0,0.0,960.0,10.0,970.0
46,2.0,48.0,1.0,0.0,954.0,10.0,964.0
47,8.0,56.0,27.0,0.0,955.0,10.0,965.0
48,13.0,52.0,36.0,0.0,962.0,10.0,972.0
49,6.0,68.0,30.0,0.0,946.0,10.0,956.0
50,47.0,47.0,13.0,0.0,973.0,10.0,983.0
